"title","type","publisher","journal","month","year","language","booktitle","volume","pages","ee" 
"digital signature schemes.","incollection","","","",1983,"english","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_113"
"Sensor Key Management.","incollection","","","",2010,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1179-1181","https://doi.org/10.1007/978-1-4419-5906-5_633"
"Hand Geometry Verification.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","531","https://doi.org/10.1007/978-1-4419-5906-5_1377"
"Time-memory tradeoffs.","incollection","","","",2006,"","Encyclopedia of Cryptography and Security","","","https://www.wikidata.org/entity/Q58765370"
"Security of Group Communication in Wireless Mesh Networks.","incollection","","","",2022,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1159-1163","https://doi.org/10.1007/978-1-4419-5906-5_60"
"Adaptive Chosen Ciphertext Attack.","incollection","","","",1997,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_6"
"BLP Model.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","158","https://doi.org/10.1007/978-1-4419-5906-5_1334"
"Security Reduction.","incollection","","","",1995,"afrikaans","Encyclopedia of Cryptography and Security (2nd Ed.)","","1167-1168","https://doi.org/10.1007/978-1-4419-5906-5_515"
"Chinese Remainder Theorem.","incollection","","","",2005,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_58"
"Linear Consistency Attack.","incollection","","","",2012,"italian","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_232"
"Fixed-Exponent Exponentiation.","incollection","","","",1997,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","485-486","https://doi.org/10.1007/978-1-4419-5906-5_30"
"Biometric Sample Quality.","incollection","","","",1996,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","104-110","https://www.wikidata.org/entity/Q57840436"
"Fermat Test.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","456","https://doi.org/10.1007/978-1-4419-5906-5_1146"
"Android's Security Framework-Understanding the Security of Mobile Phone Platforms.","incollection","","","",1997,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","34-37","https://doi.org/10.1007/978-1-4419-5906-5_121"
"Cramer-Shoup Public Key System.","incollection","","","",2010,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_84"
"Reed-Muller Codes.","incollection","","","",2017,"french","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_348"
"Traffic Analysis.","incollection","","","",1978,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1311-1313","https://doi.org/10.1007/978-1-4419-5906-5_120"
"Biometric Sensors.","incollection","","","",2022,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","110-113","https://doi.org/10.1007/978-1-4419-5906-5_727"
"Nearest Vector Problem.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","829","https://doi.org/10.1007/978-1-4419-5906-5_1122"
"Dynamic Analysis.","incollection","","","",2021,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","365-367","https://doi.org/10.1007/978-1-4419-5906-5_836"
"Exhaustive Key Search.","incollection","","","",2002,"french","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_147"
"Electronic Voting Schemes.","incollection","","","",2016,"english","Encyclopedia of Cryptography and Security (2nd Ed.)","","391-393","https://doi.org/10.1007/978-1-4419-5906-5_18"
"Product Cipher, Superencryption.","incollection","","","",2018,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_320"
"Undeniable Signatures.","incollection","","","",1975,"french","Encyclopedia of Cryptography and Security (2nd Ed.)","","1347-1348","https://doi.org/10.1007/978-1-4419-5906-5_235"
"Combination Generator.","incollection","","","",2015,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","222-224","https://doi.org/10.1007/978-1-4419-5906-5_338"
"Efficiency of Hyperelliptic Curve Cryptosystems.","incollection","","","","2011","afrikaans","Encyclopedia of Cryptography and Security (2nd Ed.)","","382","https://doi.org/10.1007/978-1-4419-5906-5_1049"
"Post-Quantum Cryptography.","incollection","","","",1993,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","949-950","https://doi.org/10.1007/978-1-4419-5906-5_386"
"Polynomial Time.","incollection","","","",2013,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","948-949","https://doi.org/10.1007/978-1-4419-5906-5_425"
"CEPS Standard.","incollection","","","",2006,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_48"
"Asymmetric Cryptosystem.","incollection","","","",2006,"afrikaans","Encyclopedia of Cryptography and Security (2nd Ed.)","","49-50","https://doi.org/10.1007/978-1-4419-5906-5_394"
"Nonrepudiation of Digital Signatures.","incollection","","","",2009,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","852-854","https://doi.org/10.1007/978-1-4419-5906-5_88"
"Macrodata Disclosure Protection.","incollection","","","","2011","french","Encyclopedia of Cryptography and Security (2nd Ed.)","","748","https://doi.org/10.1007/978-1-4419-5906-5_1287"
"Self-Synchronizing Stream Cipher.","incollection","","","",2020,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1175-1176","https://doi.org/10.1007/978-1-4419-5906-5_371"
"Anti-DoS Cookies.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","42","https://doi.org/10.1007/978-1-4419-5906-5_1069"
"Quantum Cryptography.","incollection","","","",2022,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1005-1010","https://doi.org/10.1007/978-1-4419-5906-5_241"
"Maa.","incollection","","","",2012,"italian","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_239"
"Access Rights.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","20","https://doi.org/10.1007/978-1-4419-5906-5_1313"
"Multiple Encryption.","incollection","","","",2017,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","815","https://doi.org/10.1007/978-1-4419-5906-5_600"
"Algebraic Immunity of Boolean Functions.","incollection","","","",2021,"italian","Encyclopedia of Cryptography and Security (2nd Ed.)","","31-32","https://doi.org/10.1007/978-1-4419-5906-5_333"
"Microdata Disclosure Limitation.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","778","https://doi.org/10.1007/978-1-4419-5906-5_1290"
"Threshold Homomorphic Cryptosystems.","incollection","","","",2021,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1293-1294","https://doi.org/10.1007/978-1-4419-5906-5_13"
"Antivirus.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","42","https://doi.org/10.1007/978-1-4419-5906-5_1354"
"Web Initial Sign on.","incollection","","","","2011","afrikaans","Encyclopedia of Cryptography and Security (2nd Ed.)","","1374","https://doi.org/10.1007/978-1-4419-5906-5_1392"
"Outbound Authentication.","incollection","","","","2011","afrikaans","Encyclopedia of Cryptography and Security (2nd Ed.)","","891","https://doi.org/10.1007/978-1-4419-5906-5_1248"
"Fermat's Little Theorem.","incollection","","","",2016,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","456","https://doi.org/10.1007/978-1-4419-5906-5_449"
"Smartcard Tamper Resistance.","incollection","","","",2016,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1225-1227","https://doi.org/10.1007/978-1-4419-5906-5_228"
"Anonymity.","incollection","","","",1983,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","37-38","https://doi.org/10.1007/978-1-4419-5906-5_180"
"Common Criteria, From a Security Policies Perspective.","incollection","","","",2021,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","229-232","https://doi.org/10.1007/978-1-4419-5906-5_815"
"Gröbner Basis.","incollection","","","",2000,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","519","https://doi.org/10.1007/978-1-4419-5906-5_508"
"Credential Verification.","incollection","","","","2011","french","Encyclopedia of Cryptography and Security (2nd Ed.)","","270","https://doi.org/10.1007/978-1-4419-5906-5_1300"
"Forgery.","incollection","","","",1989,"spanish","Encyclopedia of Cryptography and Security (2nd Ed.)","","489-490","https://doi.org/10.1007/978-1-4419-5906-5_206"
"Elliptic Curve Keys.","incollection","","","",2007,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","401","https://doi.org/10.1007/978-1-4419-5906-5_248"
"Substitutions and Permutations.","incollection","","","",2011,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1268-1270","https://doi.org/10.1007/978-1-4419-5906-5_176"
"Public Key Encryption.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","997","https://doi.org/10.1007/978-1-4419-5906-5_1039"
"Program Integrity Verification.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","981","https://doi.org/10.1007/978-1-4419-5906-5_1224"
"Security Evaluation Criteria.","incollection","","","",2022,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1144-1146","https://doi.org/10.1007/978-1-4419-5906-5_224"
"Parallelizable Message Authentication Code.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","913","https://doi.org/10.1007/978-1-4419-5906-5_1199"
"Virus Protection.","incollection","","","",2018,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_455"
"Resynchronization Attack.","incollection","","","",2020,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1042-1043","https://doi.org/10.1007/978-1-4419-5906-5_610"
"Moore's Law.","incollection","","","",2008,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","803","https://doi.org/10.1007/978-1-4419-5906-5_420"
"A5/1.","incollection","","","",1990,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1-2","https://doi.org/10.1007/978-1-4419-5906-5_332"
"Needham-Schroeder Protocols.","incollection","","","",2007,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_270"
"Davies-Meyer Hash Function.","incollection","","","",2013,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_96"
"Phenotyping.","incollection","","","",2017,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","927","https://doi.org/10.1007/978-1-4419-5906-5_894"
"Runtime Analysis.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","1073","https://doi.org/10.1007/978-1-4419-5906-5_1353"
"Trapdoor One-Way Function.","incollection","","","",2018,"spanish","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_436"
"Trusted Platform Module.","incollection","","","",2022,"spanish","Encyclopedia of Cryptography and Security (2nd Ed.)","","1332-1335","https://doi.org/10.1007/978-1-4419-5906-5_796"
"Voice Recognition.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","1364","https://doi.org/10.1007/978-1-4419-5906-5_1278"
"Information Flow Security.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","607","https://doi.org/10.1007/978-1-4419-5906-5_1375"
"POK.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","944","https://doi.org/10.1007/978-1-4419-5906-5_1405"
"Signature Biometrics.","incollection","","","",2016,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1208-1210","https://doi.org/10.1007/978-1-4419-5906-5_746"
"PKI.","incollection","","","",2018,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","935-936","https://doi.org/10.1007/978-1-4419-5906-5_301"
"BSP Board Support Package.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","174","https://doi.org/10.1007/978-1-4419-5906-5_1325"
"Registration Authority.","incollection","","","",2018,"afrikaans","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_349"
"TWOFISH.","incollection","","","",2016,"afrikaans","Encyclopedia of Cryptography and Security (2nd Ed.)","","1339-1340","https://doi.org/10.1007/978-1-4419-5906-5_623"
"RSA Factoring Challenge.","incollection","","","",2011,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1064-1065","https://doi.org/10.1007/978-1-4419-5906-5_433"
"Communication Channel Anonymity.","incollection","","","",2020,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_73"
"Hash-Based Message Authentication Code.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","553","https://doi.org/10.1007/978-1-4419-5906-5_1193"
"Clock-Controlled Generator.","incollection","","","",2013,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_65"
"Probabilistic Public-Key Encryption.","incollection","","","",2021,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","980","https://doi.org/10.1007/978-1-4419-5906-5_21"
"Protocol Cookies.","incollection","","","",2020,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","990-991","https://doi.org/10.1007/978-1-4419-5906-5_274"
"Electronic Wallet.","incollection","","","",1994,"french","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_127"
"Commitment.","incollection","","","",2005,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","224-227","https://doi.org/10.1007/978-1-4419-5906-5_239"
"Generalized Mersenne Prime.","incollection","","","",2010,"english","Encyclopedia of Cryptography and Security (2nd Ed.)","","509-510","https://www.wikidata.org/entity/Q56051143"
"Secure Coprocessor.","incollection","","","",2003,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1102-1103","https://doi.org/10.1007/978-1-4419-5906-5_495"
"Correlation Attack for Stream Ciphers.","incollection","","","",1986,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_80"
"Exponentiation Algorithms.","incollection","","","",2012,"afrikaans","Encyclopedia of Cryptography and Security (2nd Ed.)","","434-436","https://doi.org/10.1007/978-1-4419-5906-5_28"
"Access Matrix.","incollection","","","",2019,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","14-17","https://doi.org/10.1007/978-1-4419-5906-5_807"
"Firewall Policy Analysis.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","474","https://doi.org/10.1007/978-1-4419-5906-5_1401"
"Pairing-Friendly Elliptic Curves.","incollection","","","",2013,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","904-907","https://doi.org/10.1007/978-1-4419-5906-5_256"
"Elliptic Curve Key Agreement Schemes.","incollection","","","",2008,"italian","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_133"
"Kasumi/Misty1.","incollection","","","",2006,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","669-670","https://doi.org/10.1007/978-1-4419-5906-5_586"
"Skipjack.","incollection","","","",1998,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_401"
"OAEP: Optimal Asymmetric Encryption Padding.","incollection","","","",2019,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_284"
"Mondex.","incollection","","","",2008,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_262"
"Interactive Theorem Proving and Security.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","619","https://doi.org/10.1007/978-1-4419-5906-5_1373"
"Subgroup Cryptosystems.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","1267","https://doi.org/10.1007/978-1-4419-5906-5_1165"
"HTTP Authentication.","incollection","","","",1988,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","564-565","https://doi.org/10.1007/978-1-4419-5906-5_653"
"IC Integrated Circuit.","incollection","","","","2011","english","Encyclopedia of Cryptography and Security (2nd Ed.)","","583","https://doi.org/10.1007/978-1-4419-5906-5_1323"
"Cut-and-choose protocol.","incollection","","","",2014,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_92"
"Attestation.","incollection","","","",2021,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","50-51","https://doi.org/10.1007/978-1-4419-5906-5_697"
"Simultaneous Transactions.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","1220","https://doi.org/10.1007/978-1-4419-5906-5_1036"
"CMAC.","incollection","","","",2011,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","214-215","https://doi.org/10.1007/978-1-4419-5906-5_562"
"Location Information (Privacy of).","incollection","","","",2018,"french","Encyclopedia of Cryptography and Security (2nd Ed.)","","729-732","https://doi.org/10.1007/978-1-4419-5906-5_755"
"Subgroup.","incollection","","","",2022,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1267","https://doi.org/10.1007/978-1-4419-5906-5_437"
"FIPS 140-2.","incollection","","","",2021,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","468-471","https://doi.org/10.1007/978-1-4419-5906-5_205"
"SHA.","incollection","","","","2011","french","Encyclopedia of Cryptography and Security (2nd Ed.)","","1190","https://doi.org/10.1007/978-1-4419-5906-5_1210"
"Strong RSA Assumption.","incollection","","","",2005,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_414"
"IPsec.","incollection","","","",2014,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_209"
"Pseudo-Mersenne Prime.","incollection","","","",1976,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","992","https://doi.org/10.1007/978-1-4419-5906-5_42"
"Key Agreement.","incollection","","","",2020,"french","Encyclopedia of Cryptography and Security (2nd Ed.)","","677-678","https://doi.org/10.1007/978-1-4419-5906-5_82"
"Root of Trust.","incollection","","","",2018,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1057-1060","https://doi.org/10.1007/978-1-4419-5906-5_789"
"Chromosome.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","206","https://doi.org/10.1007/978-1-4419-5906-5_1259"
"BLS Short Digital Signatures.","incollection","","","",1991,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_35"
"MAA.","incollection","","","",2012,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","741-742","https://doi.org/10.1007/978-1-4419-5906-5_591"
"Collision Resistance.","incollection","","","",2009,"afrikaans","Encyclopedia of Cryptography and Security (2nd Ed.)","","221-222","https://doi.org/10.1007/978-1-4419-5906-5_565"
"Two-Key Cryptosystem.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","1342","https://doi.org/10.1007/978-1-4419-5906-5_1121"
"Decryption Exponent.","incollection","","","",2014,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_100"
"User Authentication.","incollection","","","",2009,"afrikaans","Encyclopedia of Cryptography and Security (2nd Ed.)","","1352","https://doi.org/10.1007/978-1-4419-5906-5_99"
"CMVP - Cryptographic Module Validation Program.","incollection","","","","2011","spanish","Encyclopedia of Cryptography and Security (2nd Ed.)","","215","https://doi.org/10.1007/978-1-4419-5906-5_1037"
"Enigma.","incollection","","","",2022,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","417-420","https://doi.org/10.1007/978-1-4419-5906-5_504"
"Secure Element.","incollection","","","",2017,"spanish","Encyclopedia of Cryptography and Security (2nd Ed.)","","1115-1116","https://doi.org/10.1007/978-1-4419-5906-5_303"
"Secure Code Dissemination in Wireless Sensor Networks.","incollection","","","",1998,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1099-1102","https://doi.org/10.1007/978-1-4419-5906-5_637"
"One-way property.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","888","https://doi.org/10.1007/978-1-4419-5906-5_1200"
"Forward Secrecy.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","499","https://doi.org/10.1007/978-1-4419-5906-5_1399"
"Linear Cryptanalysis for Stream Ciphers.","incollection","","","",1981,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","725-726","https://doi.org/10.1007/978-1-4419-5906-5_356"
"Cryptographic Protocol Verification.","incollection","","","","2011","afrikaans","Encyclopedia of Cryptography and Security (2nd Ed.)","","283","https://doi.org/10.1007/978-1-4419-5906-5_1376"
"Security of Wireless Mesh Networks (General Overview).","incollection","","","",2016,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1163-1167","https://doi.org/10.1007/978-1-4419-5906-5_56"
"Key.","incollection","","","",2011,"french","Encyclopedia of Cryptography and Security (2nd Ed.)","","676-677","https://doi.org/10.1007/978-1-4419-5906-5_170"
"e-Government.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","372","https://doi.org/10.1007/978-1-4419-5906-5_1189"
"McEliece Public Key Cryptosystem.","incollection","","","",2007,"afrikaans","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_248"
"Multidimensional Databases.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","808","https://doi.org/10.1007/978-1-4419-5906-5_1295"
"MIPS-Year.","incollection","","","",2022,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_255"
"MD5 Hash Function.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","771","https://doi.org/10.1007/978-1-4419-5906-5_1197"
"Session Hijacking Attacks.","incollection","","","",2015,"afrikaans","Encyclopedia of Cryptography and Security (2nd Ed.)","","1189-1190","https://doi.org/10.1007/978-1-4419-5906-5_661"
"DES-X (or DESX).","incollection","","","",1999,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_105"
"Serpent.","incollection","","","",2012,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_386"
"Jamming Attack Defense.","incollection","","","",1991,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","655-661","https://doi.org/10.1007/978-1-4419-5906-5_632"
"Dynamic Root of Trust.","incollection","","","",2006,"afrikaans","Encyclopedia of Cryptography and Security (2nd Ed.)","","368-369","https://doi.org/10.1007/978-1-4419-5906-5_703"
"Key Recovery.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","688","https://doi.org/10.1007/978-1-4419-5906-5_1362"
"Fingerprinting.","incollection","","","",2014,"italian","Encyclopedia of Cryptography and Security (2nd Ed.)","","465-467","https://doi.org/10.1007/978-1-4419-5906-5_381"
"Physical Security.","incollection","","","",2011,"french","Encyclopedia of Cryptography and Security (2nd Ed.)","","928-929","https://www.wikidata.org/entity/Q58765158"
"TCG Trusted Computing Group.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","1279","https://doi.org/10.1007/978-1-4419-5906-5_1316"
"Discrete Logarithm Problem.","incollection","","","",2005,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_116"
"Security Token.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","1174","https://doi.org/10.1007/978-1-4419-5906-5_1247"
"PUF.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","1001","https://doi.org/10.1007/978-1-4419-5906-5_1406"
"Factoring Circuits.","incollection","","","",2011,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_153"
"Data encryption standard (DES).","incollection","","","",2015,"italian","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_94"
"Linear Feedback Shift Register.","incollection","","","",2006,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","726-729","https://doi.org/10.1007/978-1-4419-5906-5_357"
"Binary Exponentiation.","incollection","","","",2005,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","84-86","https://doi.org/10.1007/978-1-4419-5906-5_26"
"FPGA Field Programmable Gate Array.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","499","https://doi.org/10.1007/978-1-4419-5906-5_1326"
"Biba Model.","incollection","","","",1986,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","81-82","https://doi.org/10.1007/978-1-4419-5906-5_812"
"Edwards Curves.","incollection","","","",2017,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","380-382","https://doi.org/10.1007/978-1-4419-5906-5_243"
"ARIA.","incollection","","","",1999,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","47","https://doi.org/10.1007/978-1-4419-5906-5_547"
"SIM/UICC.","incollection","","","",2018,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1217-1218","https://doi.org/10.1007/978-1-4419-5906-5_307"
"AHS Competition/SHA-3.","incollection","","","",2009,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","27-29","https://doi.org/10.1007/978-1-4419-5906-5_546"
"Security.","incollection","","","",2010,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1143-1144","https://doi.org/10.1007/978-1-4419-5906-5_175"
"Conceptual Design of Secure Databases.","incollection","","","",1993,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","245-248","https://doi.org/10.1007/978-1-4419-5906-5_673"
"Conference Keying.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","248","https://doi.org/10.1007/978-1-4419-5906-5_1094"
"Vernam Cipher.","incollection","","","",2018,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1359-1360","https://doi.org/10.1007/978-1-4419-5906-5_177"
"Elliptic Curve Method.","incollection","","","",2021,"","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_135"
"Secure Networks Design.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","1126","https://doi.org/10.1007/978-1-4419-5906-5_1190"
"Irreducible Polynomial.","incollection","","","",2003,"english","Encyclopedia of Cryptography and Security (2nd Ed.)","","646","https://doi.org/10.1007/978-1-4419-5906-5_415"
"Miller-Rabin Test.","incollection","","","","2011","","Encyclopedia of Cryptography and Security (2nd Ed.)","","785","https://doi.org/10.1007/978-1-4419-5906-5_1159"
"IC-Integrated Circuit.","incollection","","","","2011","afrikaans","Encyclopedia of Cryptography and Security (2nd Ed.)","","583","https://doi.org/10.1007/978-1-4419-5906-5_1315"
"S/MIME.","incollection","","","",2015,"english","Encyclopedia of Cryptography and Security","","","https://doi.org/10.1007/0-387-23483-7_405"
"Privacy-Enabled Database.","incollection","","","","2011","italian","Encyclopedia of Cryptography and Security (2nd Ed.)","","972","https://doi.org/10.1007/978-1-4419-5906-5_1241"
"Web Service Security.","incollection","","","",2013,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1375-1377","https://doi.org/10.1007/978-1-4419-5906-5_668"
"HTTP Session Security.","incollection","","","",2003,"spanish","Encyclopedia of Cryptography and Security (2nd Ed.)","","567-569","https://doi.org/10.1007/978-1-4419-5906-5_654"
"Second Preimage Resistance.","incollection","","","",2014,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1093","https://doi.org/10.1007/978-1-4419-5906-5_613"
"Secure Multiparty Computation (SMC).","incollection","","","",2021,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1121-1123","https://doi.org/10.1007/978-1-4419-5906-5_766"
"Cookie.","incollection","","","",2011,"english","Encyclopedia of Cryptography and Security (2nd Ed.)","","254-256","https://doi.org/10.1007/978-1-4419-5906-5_105"
"Montgomery Arithmetic.","incollection","","","",1987,"spanish","Encyclopedia of Cryptography and Security (2nd Ed.)","","799-803","https://doi.org/10.1007/978-1-4419-5906-5_38"
"Protected Mode.","incollection","","","",2004,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","987","https://doi.org/10.1007/978-1-4419-5906-5_787"
"Tamper Detection.","incollection","","","",2022,"","Encyclopedia of Cryptography and Security (2nd Ed.)","","1277","https://doi.org/10.1007/978-1-4419-5906-5_229"
