"citing","cited" 
"Electronic Voting Schemes.","SQL/Data System, General Information Manual."
"Electronic Voting Schemes.","Stream Cipher."
"Product Cipher, Superencryption.","Platform for Privacy Preferences (P3P)."
"Product Cipher, Superencryption.","PRNG."
"Product Cipher, Superencryption.","Computational Puzzles."
"Product Cipher, Superencryption.","Knowledge in Operation"
"Product Cipher, Superencryption.","Digital Signature Schemes from Codes."
"Product Cipher, Superencryption.","Fiat-Shamir Identification Protocol And The Fiat-Shamir Signature Scheme."
"Product Cipher, Superencryption.","Service Discovery."
"Undeniable Signatures.","Implementation Aspects of a Natural Language Understanding System in a Prolog/DB Environment"
"Undeniable Signatures.","Hand Geometry Verification."
"Undeniable Signatures.","Electromagnetic Attack."
"Undeniable Signatures.","Watermarking."
"Undeniable Signatures.","Mars."
"Undeniable Signatures.","On Multiparity Games for Pointer Jumping"
"Undeniable Signatures.","Node Replication."
"Undeniable Signatures.","Maximal-Length Linear Sequence."
"Combination Generator.","Certificate of Primality."
"Combination Generator.","Challenge-Response Identification."
"Combination Generator.","Target Collision Resistant Hash Function."
"Combination Generator.","TCG Trusted Computing Group."
"Combination Generator.","Right-to-Left Exponentiation."
"Combination Generator.","Fiat-Shamir Identification Protocol And The Fiat-Shamir Signature Scheme."
"Combination Generator.","Semantic Security."
"Combination Generator.","Web Security."
"Combination Generator.","Data Mining (Privacy in)."
"Combination Generator.","Analysis and Manipulation of Boolean Functions in Terms of Decision Graphs"
"Efficiency of Hyperelliptic Curve Cryptosystems.","List Decoding."
"Efficiency of Hyperelliptic Curve Cryptosystems.","Dynamic Separation of Duties."
"Efficiency of Hyperelliptic Curve Cryptosystems.","Group Key Agreement."
"Efficiency of Hyperelliptic Curve Cryptosystems.","CCIT2-code."
"Efficiency of Hyperelliptic Curve Cryptosystems.","Event-Based and Publish/Subscribe Communication."
"Efficiency of Hyperelliptic Curve Cryptosystems.","Second preimage resistance."
"Efficiency of Hyperelliptic Curve Cryptosystems.","Database Encryption."
"Efficiency of Hyperelliptic Curve Cryptosystems.","The Design and Implementation of TLPROLOG (V. 2.0) - Intermediate Report"
"Efficiency of Hyperelliptic Curve Cryptosystems.","Linear Consistency Attack."
"Efficiency of Hyperelliptic Curve Cryptosystems.","Euclidean Algorithm."
"Efficiency of Hyperelliptic Curve Cryptosystems.","Innovative Rehabilitation Technologies for Home Environments - An Overview."
"Efficiency of Hyperelliptic Curve Cryptosystems.","Decisional Diffie-Hellman Assumption."
"Efficiency of Hyperelliptic Curve Cryptosystems.","Correlation Immune and Resilient Boolean Functions."
"Efficiency of Hyperelliptic Curve Cryptosystems.","Spyware."
"Efficiency of Hyperelliptic Curve Cryptosystems.","TCP Modulation Attacks."
"Post-Quantum Cryptography.","A Logical Operational Semantics of Full Prolog Part III: Built-in Predicates for Files, Terms, Arithmetic and Input-Output"
"Post-Quantum Cryptography.","BSP Board Support Package."
"Post-Quantum Cryptography.","Face Recognition in Ambient Intelligence Applications."
"Post-Quantum Cryptography.","Side-Channel Attacks."
"Post-Quantum Cryptography.","Efficient OBDD-Based Boolean Manipulation in CAD Beyond Current Limits"
"Post-Quantum Cryptography.","Scheduling of Conditional Executed Jobs"
"Post-Quantum Cryptography.","Tamper Evidence."
"Polynomial Time.","Discretionary Access Control Policies (DAC)."
"Polynomial Time.","A Heuristic for (+)-OBDD Minimization"
"Polynomial Time.","Contactless Cards."
"Polynomial Time.","Derivability, Redundancy and Consistency of Relations Stored in Large Data Banks."
"Polynomial Time.","Propagation Characteristics of Boolean Functions."
"Polynomial Time.","Normalized Data Base Structure: A Brief Tutorial."
"Polynomial Time.","Reduction of Generalized Semi-Infinite Programming Problems to Semi-Infinite or Piece-Wise Smooth Programming Problems"
"Polynomial Time.","Local Convergence of the Symmetric Rank-One Iteration"
"Polynomial Time.","Access Rights."
"Polynomial Time.","Binary Exponentiation."
"Polynomial Time.","Ordered Binary Decision Diagrams in Electronic Design Automation"
"Polynomial Time.","Complexity Classes with Finite Acceptance Types"
"Polynomial Time.","Exponential Key Exchange."
"CEPS Standard.","Succinct Solvers"
"CEPS Standard.","Recursive Revoke."
"CEPS Standard.","A Model for Discourse Particles"
"CEPS Standard.","Blowfish."
"CEPS Standard.","Interaktion von propositionalen und bildhaften Repräsentationen"
"CEPS Standard.","Password."
"CEPS Standard.","Minimal Polynomial."
"CEPS Standard.","AAL Technologies in Rehabilitation - Lessons Learned from a COPD Case Study."
"CEPS Standard.","Stochastic Models for Communication Networks with Moving Customers"
"CEPS Standard.","Code-Based Cryptography."
"CEPS Standard.","Optimal Static Output Feedback Design By Using a Trust Region Interior Point Method"
"CEPS Standard.","Assisted Ambient Living Applied to Remote Motor Rehabilitation."
"CEPS Standard.","On the Reconstruction of Binary Images from Their Discrete Radon Transforms"
"Asymmetric Cryptosystem.","Radio Interference Attack Defense."
"Asymmetric Cryptosystem.","Upper and Lower Bounds for Certain Graph-Accessability-Problems on Bounded Alternating (omega)-Branching Programs"
"Asymmetric Cryptosystem.","Verarbeitung natürlicher Sprache"
"Asymmetric Cryptosystem.","Key management."
"Asymmetric Cryptosystem.","Möglichkeiten des Einsatzes eines dreiwertigen Theorembeweisers"
"Asymmetric Cryptosystem.","Credentials."
"Asymmetric Cryptosystem.","Fermat Test."
"Nonrepudiation of Digital Signatures.","Goldwasser-Micali Encryption Scheme."
"Nonrepudiation of Digital Signatures.","OAEP: Optimal Asymmetric Encryption Padding."
"Nonrepudiation of Digital Signatures.","ICT Infrastructures for Telerehabilitation."
"Nonrepudiation of Digital Signatures.","Attribute Certificate."
"Nonrepudiation of Digital Signatures.","Quasi-Identifier."
"Nonrepudiation of Digital Signatures.","Correlation Attack for Stream Ciphers."
"Nonrepudiation of Digital Signatures.","Linear Feedback Shift Register."
"Nonrepudiation of Digital Signatures.","Inversion Attack."
"Nonrepudiation of Digital Signatures.","Cyclic Codes."
"Nonrepudiation of Digital Signatures.","Secure Shell."
"Nonrepudiation of Digital Signatures.","On Continuous Deformations of Semi-Infinite Optimization Problems"
"Nonrepudiation of Digital Signatures.","digital signature schemes."
"Macrodata Disclosure Protection.","The Algebra of Feature Graph Specifications"
"Macrodata Disclosure Protection.","On the Algorithmic Complexity of Minkowski's Reconstruction Theorem"
"Macrodata Disclosure Protection.","White-Box Cryptography."
"Macrodata Disclosure Protection.","Triple-DES."
"Macrodata Disclosure Protection.","Zur Behandlung komplexer Objekte in LILOG"
"Macrodata Disclosure Protection.","Multiparty Computation."
"Macrodata Disclosure Protection.","Regularisierte Strafmethoden für inkorrekt gestellte Kontrollprobleme mit linearen Zustandsgleichungen"
"Macrodata Disclosure Protection.","Precise Interprocedural Dependence Analysis of Parallel Programs"
"Macrodata Disclosure Protection.","The Graph of Integer Multiplication is Hard for Read-k-Times Networks"
"Macrodata Disclosure Protection.","IDEA."
"Macrodata Disclosure Protection.","The Compilation of a High Level Data Language."
"Macrodata Disclosure Protection.","Elliptic Curve Key Agreement Schemes."
"Macrodata Disclosure Protection.","A Focus on Location Context."
"Macrodata Disclosure Protection.","The SPARAMAT Approach to Automatic Comprehension of Sparse Matrix Computations"
"Macrodata Disclosure Protection.","QRP."
"Self-Synchronizing Stream Cipher.","Tamper Detection."
"Self-Synchronizing Stream Cipher.","Key management."
"Self-Synchronizing Stream Cipher.","Special-Purpose Cryptanalytical Hardware."
"Self-Synchronizing Stream Cipher.","Anonymity in Data Mining."
"Self-Synchronizing Stream Cipher.","Alberti encryption."
"Self-Synchronizing Stream Cipher.","On the Complexity of some Basic Problems in Computational Convexity: II. Volume and mixed volumes"
"Self-Synchronizing Stream Cipher.","Trust Region Methods for Solving the Optimal Output Feedback Design Problem"
"Self-Synchronizing Stream Cipher.","Secure Wireless Mesh Networks."
"Self-Synchronizing Stream Cipher.","Hash-Based Message Authentication Code."
"Anti-DoS Cookies.","Die Sloppy/Referenzielle Ambiguität: Bildungssyntax oder Diskursrepräsentationstheorie?"
"Anti-DoS Cookies.","RSA Digital Signature Scheme."
"Anti-DoS Cookies.","Group Signatures."
"Anti-DoS Cookies.","Anaphora Resolution for Machine Translation: A Study"
"Anti-DoS Cookies.","Exact XML Type Checking in Polynomial Time."
"Anti-DoS Cookies.","Subgroup."
"Anti-DoS Cookies.","Modification of User Defined Types"
"Anti-DoS Cookies.","Derivationsmorphologie in einem Übersetzungssystem"
"Anti-DoS Cookies.","On the Interpretation of Equality, Sorts, and Logic Programming"
"Anti-DoS Cookies.","Key escrow."
"Anti-DoS Cookies.","Multilevel Security Policies."
"Anti-DoS Cookies.","Factor Base."
"Anti-DoS Cookies.","Block-Restricted Reordering - Extended Experiments"
"Quantum Cryptography.","Correlation Attack for Stream Ciphers."
"Quantum Cryptography.","Palmprint Authentication."
"Quantum Cryptography.","Luby-Rackoff Ciphers."
"Quantum Cryptography.","Elgamal Digital Signature Scheme."
"Quantum Cryptography.","On the Joint Distribution Functions of Order Statistics with Reference to Step-up Multiple Test Procedures"
"Quantum Cryptography.","Speaker Identification and Verification (SIV)."
"Quantum Cryptography.","Iceman Attack."
"Maa.","Porta Encryption."
"Maa.","Encryption."
"Maa.","Information Theoretic Model."
"Maa.","TCP Reset Injection."
"Maa.","Efficient View Maintenance at Data Warehouses."
"Maa.","Biometric Testing."
"Maa.","Random Key Predistribution."
"Maa.","On the Use of Product Structure in Secant Methods for Nonlinear Least Squares Problems"
"Access Rights.","SIM/UICC."
"Access Rights.","Analysis of Social Networks Extracted from Log Files."
"Access Rights.","MD5 Hash Function."
"Access Rights.","Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen"
"Access Rights.","Information Security Management System."
"Access Rights.","Wiener, Boneh-Durfee, and May Attacks on the RSA Public Key Cryptosystem."
"Access Rights.","Differential Closure Computation for General Horn-Clause Queries"
"Access Rights.","On MAPA/G/K/K Stations"
"Access Rights.","Gap."
"Access Rights.","Biometric Encryption."
"Access Rights.","Correlation Immune and Resilient Boolean Functions."
"Access Rights.","Ciphertext-Only Attack."
"Access Rights.","TWOFISH."
"Access Rights.","Zum Gleichgewichtsverhalten von Markov-Prozessen"
"Multiple Encryption.","Hippocratic Database."
"Multiple Encryption.","Boomerang Attack."
"Multiple Encryption.","Weak Error Tolerance Criterion in Generalized Proximal Methods"
"Multiple Encryption.","Client Puzzles."
"Multiple Encryption.","Further Normalization of the Data Base Relational Model."
"Multiple Encryption.","PUF."
"Multiple Encryption.","Common Criteria, From a Security Policies Perspective."
"Multiple Encryption.","Modes of Operation of a Block Cipher."
"Multiple Encryption.","Anti-DoS Cookies."
"Multiple Encryption.","Simultaneous Exponentiation."
"Multiple Encryption.","Statistical Databases."
"Multiple Encryption.","Space-Time Trade-Off."
"Multiple Encryption.","Genetically Improved Software."
"Multiple Encryption.","Inexact SQP Interior Point Methods and Large Scale Optimal Control Problems"
"Multiple Encryption.","Encryption."
"Algebraic Immunity of Boolean Functions.","Zur Systematik morphologischer Paradigmen: Die deutschen Verben in der Computermorphologie"
"Algebraic Immunity of Boolean Functions.","Social Spaces for Reseach and Innovation (SSRI): Users Leading Research and Innovation in Ambient Assisted Living."
"Algebraic Immunity of Boolean Functions.","Group Key Exchange."
"Algebraic Immunity of Boolean Functions.","Multivariate Cryptography."
"Algebraic Immunity of Boolean Functions.","Cellular Network Security."
"Algebraic Immunity of Boolean Functions.","Typing Dynamics."
"Algebraic Immunity of Boolean Functions.","False Data Injection Defense."
"Algebraic Immunity of Boolean Functions.","Security and Privacy in Online Social Networks."
"Algebraic Immunity of Boolean Functions.","Smart Living Environment: Ubiquitous Computing Approach Based on TRON Architecture."
"Algebraic Immunity of Boolean Functions.","Temporal Access Control."
"Algebraic Immunity of Boolean Functions.","Multiword Lexemes: A Monolingual and Contrastive Typology for NLP and MT"
"Microdata Disclosure Limitation.","Pairing-Based Key Exchange."
"Microdata Disclosure Limitation.","A 'RISC' Object Model for Object System Interoperation: Concepts and Applications."
"Microdata Disclosure Limitation.","An Even Faster Solver for General Systems of Equations"
"Microdata Disclosure Limitation.","Compromising Emanations."
"Microdata Disclosure Limitation.","Identity Verification Protocol."
"Microdata Disclosure Limitation.","Firewall Policy Analysis."
"Microdata Disclosure Limitation.","GCM."
"Microdata Disclosure Limitation.","Strong Exclusion."
"Microdata Disclosure Limitation.","Spatial Queues with Infinitely Many Servers"
"Microdata Disclosure Limitation.","Fermat Primality Test."
"Microdata Disclosure Limitation.","Authorization architecture."
"Microdata Disclosure Limitation.","Pseudorandom Number Generator."
"Microdata Disclosure Limitation.","Computationally Sound Proof System."
"Microdata Disclosure Limitation.","Lattice."
"Microdata Disclosure Limitation.","Privacy-Enhanced Languages."
"Threshold Homomorphic Cryptosystems.","Image Classification with Genetic Programming: Building a Stage 1 Computer Aided Detector for Breast Cancer."
"Threshold Homomorphic Cryptosystems.","Timing Attack."
"Threshold Homomorphic Cryptosystems.","Operator-Geometric Solutions for the M/G/k Queue and its Variants"
"Threshold Homomorphic Cryptosystems.","MD4-MD5."
"Threshold Homomorphic Cryptosystems.","Tracking Natural Human Movements Identifies Differences in Cognition and Health."
"Threshold Homomorphic Cryptosystems.","Whirlpool."
"Threshold Homomorphic Cryptosystems.","Edwards Curves."
"Threshold Homomorphic Cryptosystems.","Lokale Verben und Präpositionen: Semantische und konzeptuelle Verarbeitung in LEU II"
"Antivirus.","An Integer Concave Minimization Approach for the Minimum Concave Cost Capacitated Flow Problem on Networks"
"Antivirus.","Algebraic Number Field."
"Antivirus.","Sensor Code Attestation."
"Antivirus.","Intrusion Detection."
"Antivirus.","Spectre Attacks: Exploiting Speculative Execution."
"Antivirus.","Vigenère Encryption."
"Antivirus.","One-Way Chain."
"Antivirus.","Convergence of Disturbed Martingales and a Stochastic Model for Annuity Funds"
"Antivirus.","Pseudo-Noise Sequences (PN-Sequences)."
"Antivirus.","Position und Bewegung: Zur Semantik lokaler Verben"
"Antivirus.","Role-Based Access Control."
"Antivirus.","PROMISE."
"Web Initial Sign on.","Interprocedural Invariants"
"Web Initial Sign on.","Practical E-Cash."
"Web Initial Sign on.","Personal Name Matching: New Test Collections and a Social Network based Approach."
"Web Initial Sign on.","Key Escrow."
"Web Initial Sign on.","Zur strukturellen Stabilität von Kommunikationssystemen - Eine kurze Einführung in die Grundlagen"
"Web Initial Sign on.","IPSec Policy Analysis."
"Web Initial Sign on.","DDH Problem."
"Web Initial Sign on.","Increasing Efficiency of Symbolic Model Checking by Accelerating Dynamic Variable Reordering"
"Outbound Authentication.","Collision Attack."
"Outbound Authentication.","Linear Cryptanalysis for Stream Ciphers."
"Outbound Authentication.","Trusted Platform Module."
"Outbound Authentication.","A Phase Space Model for Spatial BMAPs"
"Outbound Authentication.","Generic Model."
"Outbound Authentication.","Ordered Binary Decision Diagrams and Their Significance in Computer-Aided Design of VLSI Circuits"
"Outbound Authentication.","A new Algorithm for Solving the General Quadratic Programming Problem"
"Outbound Authentication.","Index Path Length Evaluation for the Research Storage System of System R."
"Outbound Authentication.","QRP."
"Outbound Authentication.","Design and Implementation of a PHP-based Web Server for the Tele-Lab IT Security"
"Outbound Authentication.","Sorted Feature Terms and Relational Dependencies"
"Outbound Authentication.","Maximal-Length Linear Sequence."
"Fermat's Little Theorem.","Attribute Inheritance Implemented on Top of a Relational Database System"
"Fermat's Little Theorem.","Simultaneous Exponentiation."
"Fermat's Little Theorem.","Event-Based and Publish/Subscribe Communication."
"Fermat's Little Theorem.","Triple DES."
"Fermat's Little Theorem.","Web Client Security and Privacy."
"Fermat's Little Theorem.","Über die W's der Textgenerierung: Was, wofür, wo und wie: Wissensbasierte Generierung von informierenden Texten in einem Auskunftssystem"
"Fermat's Little Theorem.","Managing Chronic Conditions Using Wireless Sensor Networks."
"Smartcard Tamper Resistance.","Monitoring Patterns of Inactivity in the Home with Domotics Networks."
"Smartcard Tamper Resistance.","Perspectives on Social Network Analysis for Observational Scientific Data."
"Smartcard Tamper Resistance.","Identity-Based Cryptosystems."
"Smartcard Tamper Resistance.","Autotomic Signatures."
"Smartcard Tamper Resistance.","LFSR."
"Smartcard Tamper Resistance.","Hard-Core Bit."
"Smartcard Tamper Resistance.","Biometric Sample Quality."
"Anonymity.","Running-key."
"Anonymity.","eSTREAM."
"Anonymity.","A WAM Extension for Type-Constraint Logic Programming: Specification and Correctness Proof"
"Anonymity.","Utility Function Program with or without Explicit Form of Utility Function"
"Anonymity.","Side-Channel Analysis."
"Anonymity.","Event-Based and Publish/Subscribe Communication."
"Anonymity.","Factor Base."
"Common Criteria, From a Security Policies Perspective.","Der Einfluss kleiner naturnaher Retentionsmaßnahmen in der Fläche auf den Hochwasserabfluss - Kleinrückhaltebecken -."
"Common Criteria, From a Security Policies Perspective.","Recursive Revoke."
"Common Criteria, From a Security Policies Perspective.","Invasive Attacks."
"Common Criteria, From a Security Policies Perspective.","Rijndael/AES."
"Common Criteria, From a Security Policies Perspective.","Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype."
"Common Criteria, From a Security Policies Perspective.","Structured Quasi-Newton Methods for Optimization Problems in Hilbert Space"
"Common Criteria, From a Security Policies Perspective.","Session Hijacking Attacks."
"Gröbner Basis.","Performance Analysis of SDN Specific Error Procedures: Comparison of Step-by-Step and End-to-End Schemes"
"Gröbner Basis.","ECPP."
"Gröbner Basis.","R&D Projects Related to AAL in TECNALIA's Health Technologies Unit."
"Gröbner Basis.","Statistical Databases."
"Gröbner Basis.","Firewall."
"Gröbner Basis.","Quantitative Analysen zu Wörterbüchern"
"Gröbner Basis.","Mentale Bilder und Wegbedeutungen"
"Credential Verification.","Slide Attack."
"Credential Verification.","Man-in-the-Middle Attack."
"Credential Verification.","Tempest."
"Credential Verification.","Maurer's Method."
"Credential Verification.","Tiger."
"Credential Verification.","Nonsecret Encryption."
"Forgery.","Access Lists."
"Forgery.","Separation by Hyperplanes in Finite-Dimensional Vector Spaces Over Archimedean Ordered Fields"
"Forgery.","Ein Lernverfahren für den automatischen Erwerb von Kontrollwissen"
"Forgery.","Security of Wireless Mesh Networks (General Overview)."
"Forgery.","A Phase Space Model for Spatial BMAPs"
"Forgery.","Proof of Knowledge Versus Proof of Membership."
"Elliptic Curve Keys.","Public-Key Cryptosystem."
"Elliptic Curve Keys.","Introduction to Section on Future Developments and Visions for the AAL Area."
"Elliptic Curve Keys.","On the G/GE/1 Queue"
"Elliptic Curve Keys.","Tamper Evidence."
"Elliptic Curve Keys.","Telehealthcare Development & Effectiveness in Taiwan."
"Elliptic Curve Keys.","Nucleic Acid."
"Elliptic Curve Keys.","Common Criteria."
"Substitutions and Permutations.","Jacobi Symbol."
"Substitutions and Permutations.","PMAC."
"Substitutions and Permutations.","Moore's Law."
"Substitutions and Permutations.","Web Vulnerability Assessment."
"Substitutions and Permutations.","Key Escrow."
"Substitutions and Permutations.","NESSIE Project."
"Substitutions and Permutations.","Three-Factor Authentication."
"Substitutions and Permutations.","Scheduling of Virtual Connections in Fast Networks"
"Substitutions and Permutations.","Side-Channel Attacks."
"Public Key Encryption.","Trust Anchor."
"Public Key Encryption.","Visual Secret Sharing Schemes."
"Public Key Encryption.","Transport-Level Security."
"Public Key Encryption.","Spyware."
"Public Key Encryption.","Fast Generation of Random Permutations via Networks Simulation"
"Public Key Encryption.","Fermat Primality Test."
"Public Key Encryption.","Efficient OBDD-Based Boolean Manipulation in CAD Beyond Current Limits"
"Public Key Encryption.","SEAL."
"Public Key Encryption.","Blinding Techniques."
"Public Key Encryption.","Script Language Security."
"Public Key Encryption.","Web Session Security."
"Program Integrity Verification.","Simultaneous Pseudo-Timestepping for PDE-model Based Optimization Problems"
"Program Integrity Verification.","The Complexity of Detecting Crossingfree Configurations in the Plane"
"Program Integrity Verification.","Dictionary Attack."
"Program Integrity Verification.","Typing Dynamics."
"Program Integrity Verification.","Security Reduction."
"Program Integrity Verification.","Natural Language Understanding in LILOG: An Intermediate Overview"
"Program Integrity Verification.","Introduction to Section on AAL for Rehabilitation."
"Program Integrity Verification.","AAL in Cardiac Rehabilitation."
"Program Integrity Verification.","Modeling Temporal Variation in Social Network: An Evolutionary Web Graph Approach."
"Program Integrity Verification.","Key Authentication."
"Program Integrity Verification.","Tamper Response."
"Program Integrity Verification.","Speeding up Variable Reordering of OBDDs."
"Program Integrity Verification.","Blum Integer."
"Program Integrity Verification.","Attribute Certificate."
"Program Integrity Verification.","Public Key Infrastructure."
"Security Evaluation Criteria.","Lagrange-Duality and Partitioning Techniques in Nonconvex Global Optimization"
"Security Evaluation Criteria.","Electronic-Early Warning Scorecard: An Intelligent Context Aware Decision Making Approach for Patient Monitoring."
"Security Evaluation Criteria.","Greatest Common Factor."
"Security Evaluation Criteria.","Universal One-Way Hash Functions."
"Security Evaluation Criteria.","Signature Biometrics."
"Security Evaluation Criteria.","Relay Attack."
"Security Evaluation Criteria.","Greatest Common Divisor."
"Security Evaluation Criteria.","On Structuring Domain-Specific Knowledge"
"Security Evaluation Criteria.","Prozedurale Semantik. Repräsentation der Sprechergegenwart."
"Parallelizable Message Authentication Code.","Block Ciphers."
"Parallelizable Message Authentication Code.","Compositeness Test."
"Parallelizable Message Authentication Code.","Stack (Buffer) Overflow."
"Parallelizable Message Authentication Code.","LILOG-DB: Database Support for Knowledge-Based Systems"
"Parallelizable Message Authentication Code.","Linear Congruential Generator."
"Parallelizable Message Authentication Code.","Datenbankkonzepte für wissensbasierte Systeme"
"Parallelizable Message Authentication Code.","File System Permissions."
"Parallelizable Message Authentication Code.","LILOG-DB: Database Support for Knowledge-Based Systems"
"Parallelizable Message Authentication Code.","Operational Separation of Duties."
"Parallelizable Message Authentication Code.","Die Behandlung von mehrdeutigen Verben in der Maschinellen Übersetzung"
"Parallelizable Message Authentication Code.","Handwriting Analysis."
"Parallelizable Message Authentication Code.","Keyboard Dynamics."
"Parallelizable Message Authentication Code.","CRT."
"Virus Protection.","White-Box Cryptography."
"Virus Protection.","Relational Completeness of Data Base Sublanguages."
"Virus Protection.","Convergence of Time-Continous Disturbed Martingales and Financial Market Modelling"
"Virus Protection.","Web 2.0 Security and Privacy."
"Virus Protection.","A Model Elimination Calculus for Generalized Clauses"
"Virus Protection.","Privacy Protection in Biometric Systems."
"Virus Protection.","Pseudo-Noise Sequences (PN-Sequences)."
"Virus Protection.","Interactive Proof Systems."
"Resynchronization Attack.","Index Calculus."
"Resynchronization Attack.","TWIRL."
"Resynchronization Attack.","Web Service Security."
"Resynchronization Attack.","Business Grids."
"Resynchronization Attack.","Gene."
"Resynchronization Attack.","Role-Based Access Control."
"Resynchronization Attack.","Development and Programming of Deductive Databases with PROTOS-L"
"Resynchronization Attack.","Handbook of Research on Ubiquitous Computing Technology for Real Time Enterprises"
"Resynchronization Attack.","Secure Index."
"Resynchronization Attack.","Diffie-Hellman Key Exchange."
"Resynchronization Attack.","MetaObject Protocol Concepts for a RISC Object Model."
"Resynchronization Attack.","Macrodata Disclosure Protection."
"Moore's Law.","Managing Trust in Online Social Networks."
"Moore's Law.","Public-Key Encryption."
"Moore's Law.","Vigenère Encryption."
"Moore's Law.","One Strike Against the Min-Max Degree Triangulation Problem"
"Moore's Law.","Ein neuer Ansatz zur Integration unterschiedlicher lexikalischer Resourcen"
"Moore's Law.","Paillier Encryption and Signature Schemes."
"Moore's Law.","Itoh-Tsujii Inversion Algorithm."
"Moore's Law.","Second preimage resistance."
"A5/1.","Convergence Rate of the Augmented Lagrangian SQP Method"
"A5/1.","ABA digital signature guidelines."
"A5/1.","Sliding Window Exponentiation."
"A5/1.","Forgery."
"A5/1.","Shannon's Maxim."
"A5/1.","The Role of Assistive Technology in Supporting Formal Carers."
"Needham-Schroeder Protocols.","Secure Logging."
"Needham-Schroeder Protocols.","Structure and Dynamics of Social Networks Revealed by Data Analysis of Actual Communication Services."
"Needham-Schroeder Protocols.","Traitor Tracing."
"Needham-Schroeder Protocols.","Successive Determination and Verification of Polytopes by their X-Rays"
"Needham-Schroeder Protocols.","PUF."
"Needham-Schroeder Protocols.","UMTS IC Card."
"Davies-Meyer Hash Function.","Rijndael/AES."
"Davies-Meyer Hash Function.","RSA Problem."
"Davies-Meyer Hash Function.","Mod-2-OBDD's: A Generalization of OBDD's and EXOR-Sum-of-Products"
"Davies-Meyer Hash Function.","Verifiable Secret Sharing."
"Davies-Meyer Hash Function.","Resolution with Feature Unification"
"Davies-Meyer Hash Function.","IDEA."
"Davies-Meyer Hash Function.","Galois Message Authentication Code."
"Davies-Meyer Hash Function.","DES-X (or DESX)."
"Davies-Meyer Hash Function.","HTTP Cookie."
"Davies-Meyer Hash Function.","Identity Proof."
"Davies-Meyer Hash Function.","State Encodings and OBDD-Sizes"
"Davies-Meyer Hash Function.","Database Encryption."
"Phenotyping.","Two-Key Cryptosystem."
"Phenotyping.","SERPENT."
"Phenotyping.","Web-Based Security Protocols."
"Phenotyping.","High Assurance Evaluation Methods."
"Phenotyping.","DB&LP: A WWW Bibliography on Databases and Logic Programming"
"Phenotyping.","Torus-Based Cryptography."
"Phenotyping.","Trusted Computing Group."
"Phenotyping.","Language Support for Synchronous Parallel Critical Sections"
"Phenotyping.","Authentication, From an Information Theoretic Perspective."
"Phenotyping.","Managing Trust in Online Social Networks."
"Phenotyping.","Object Model Capabilities For Distributed Object Management."
"Phenotyping.","Computational Convexity"
"Phenotyping.","On Multiplicative Structure in Quasi-Newton Methods for Nonlinear Equations"
"Runtime Analysis.","Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen"
"Runtime Analysis.","Virus Scanner."
"Runtime Analysis.","Digital Signature Schemes from Codes."
"Runtime Analysis.","Maximal-Length Linear Sequence."
"Runtime Analysis.","GOST."
"Runtime Analysis.","Reverse Engineering of Malware Emulators."
"Runtime Analysis.","Classical Cryptosystem."
"Runtime Analysis.","TCP SYN Flooding."
"Runtime Analysis.","Standards für das Programmieren in Prolog für LILOG, Version 3.3"
"Runtime Analysis.","Biometrics: Terms and Definitions."
"Runtime Analysis.","Public Key Encryption."
"Runtime Analysis.","Biometric Performance Evaluation."
"Runtime Analysis.","IBE."
"Runtime Analysis.","Information Theory."
"Trapdoor One-Way Function.","Buffer Overflow Attacks."
"Trapdoor One-Way Function.","Biometric Recognition."
"Trapdoor One-Way Function.","Zeit und Aspekt bei der Verarbeitung natürlicher Sprachen"
"Trapdoor One-Way Function.","One Time Password, from a Key Management Perspective."
"Trapdoor One-Way Function.","SPKI."
"Trapdoor One-Way Function.","Rijndael."
"Trapdoor One-Way Function.","Möglichkeiten des Einsatzes eines dreiwertigen Theorembeweisers"
"Trapdoor One-Way Function.","Gebietskonstituierende Prozesse"
"Trusted Platform Module.","Network Flooding Attack."
"Trusted Platform Module.","Adaptive Neck Support for Wellbeing During Air Travel."
"Trusted Platform Module.","Digital Signature Scheme Based on McEliece."
"Trusted Platform Module.","Database Encryption."
"Trusted Platform Module.","Graph Based Extension of the LILOG Inference Engine"
"Trusted Platform Module.","Hippocratic Database."
"Trusted Platform Module.","Aggregate Signatures."
"Trusted Platform Module.","Privacy."
"Trusted Platform Module.","Node Clone Defense."
"Trusted Platform Module.","SQL Injection Attacks."
"Trusted Platform Module.","Stochastic Models for Communication Networks with Moving Customers"
"Trusted Platform Module.","On Generalized Bisection of N-Simplices"
"Trusted Platform Module.","Public-Key Cryptosystem."
"Trusted Platform Module.","NTRUSign."
"Trusted Platform Module.","Implementation Aspects of a Natural Language Understanding System in a Prolog/DB Environment"
"Voice Recognition.","Galois Message Authentication Code."
"Voice Recognition.","Cascade: A Simple and Efficient Algorithm for Priority Queues"
"Voice Recognition.","Payment card."
"Voice Recognition.","Digest Authentication."
"Voice Recognition.","Managing Trust in Online Social Networks."
"Voice Recognition.","Application of GFA-MLR and G/PLS Techniques in QSAR/QSPR Studies with Application in Medicinal Chemistry and Predictive Toxicology."
